,Bias voltage [V],Bias voltage [V] error,Alpha Pulse Amplitude [V],Alpha Pulse Amplitude [V] error
0,28.5,0.08625000000000001,0.028412344226686967,1.9860427971378117e-05
1,29.0,0.0875,0.06073168018159535,2.7335974074566654e-05
2,29.5,0.08875,0.09805666600547297,4.315826134305102e-05
3,30.0,0.09,0.1386672136584177,6.0500966742210515e-05
4,30.5,0.09125,0.18444492276906446,8.603591932252437e-05
5,31.0,0.0925,0.2358196457834769,9.12182802317922e-05
6,31.5,0.09375,0.29127555633566055,0.00012649168966878826
7,32.0,0.095,0.35958902285681477,0.00015798416921748308
8,32.5,0.09625,0.44031489637924126,0.00022224453125044204
9,33.0,0.0975,0.5368570359995293,0.00022959236498652145
10,33.5,0.09875,0.6555926052204287,0.0002875845382901261
11,34.0,0.1,0.8008286842660374,0.0004586666300871812
12,34.5,0.10125,0.9915055501769517,0.00041668149740232394
13,35.0,0.10250000000000001,1.2416717650370146,0.0006382695037441121
14,35.5,0.10375,1.5666550131213186,0.0010666504264439788
15,36.0,0.105,2.0667966268420526,0.0014912986838936473
16,36.5,0.10625,2.7949539724186656,0.0026414316988991483
